user,login_count,night_login_count,weekend_login_count,usb_connect_count,usb_disconnect_count,usb_usage_count,email_count_x,attachment_count_x,email_size_total_x,avg_email_size_x,email_count_y,attachment_count_y,email_size_total_y,avg_email_size_y,email_count,attachment_count,email_size_total,avg_email_size,file_access_count,unique_file_count,pdf_count,doc_count,image_count,website_visit_count_x,unique_website_count_x,after_hours_web_activity_x,website_visit_count_y,unique_website_count_y,after_hours_web_activity_y,website_visit_count,unique_website_count,after_hours_web_activity
AAB0224,1359,492.0,0.0,0.0,0.0,0.0,3683,0,110371394,29967.796361661687,3683,0,110371394,29967.796361661687,3683,0,110371394,29967.796361661687,0.0,0.0,0.0,0.0,0.0,39444,151,0.0,39444,151,0.0,39444,151,0.0
AAD0986,346,0.0,0.0,0.0,0.0,0.0,2995,0,89379912,29843.04240400668,2995,0,89379912,29843.04240400668,2995,0,89379912,29843.04240400668,0.0,0.0,0.0,0.0,0.0,32870,201,0.0,32870,201,0.0,32870,201,0.0
AAH0706,346,0.0,0.0,0.0,0.0,0.0,339,166,10273629,30305.690265486726,339,166,10273629,30305.690265486726,339,166,10273629,30305.690265486726,0.0,0.0,0.0,0.0,0.0,3460,177,0.0,3460,177,0.0,3460,177,0.0
AAR0566,346,0.0,0.0,0.0,0.0,0.0,3043,623,91746748,30150.097929674663,3043,623,91746748,30150.097929674663,3043,623,91746748,30150.097929674663,0.0,0.0,0.0,0.0,0.0,32870,306,0.0,32870,306,0.0,32870,306,0.0
AAT0419,623,0.0,0.0,0.0,0.0,0.0,3018,1120,90079529,29847.42511597084,3018,1120,90079529,29847.42511597084,3018,1120,90079529,29847.42511597084,0.0,0.0,0.0,0.0,0.0,32870,107,0.0,32870,107,0.0,32870,107,0.0
ABB0427,184,3.0,1.0,17.0,17.0,34.0,1565,627,46940696,29994.05495207668,1565,627,46940696,29994.05495207668,1565,627,46940696,29994.05495207668,41.0,41.0,8.0,24.0,1.0,17007,128,103.0,17007,128,103.0,17007,128,103.0
ABC0207,346,0.0,0.0,0.0,0.0,0.0,4687,2058,141541778,30198.80051205462,4687,2058,141541778,30198.80051205462,4687,2058,141541778,30198.80051205462,0.0,0.0,0.0,0.0,0.0,49478,349,0.0,49478,349,0.0,49478,349,0.0
ABD0879,677,45.0,3.0,0.0,0.0,0.0,5098,2412,152820644,29976.587681443703,5098,2412,152820644,29976.587681443703,5098,2412,152820644,29976.587681443703,0.0,0.0,0.0,0.0,0.0,56052,207,379.0,56052,207,379.0,56052,207,379.0
ABS0840,346,0.0,0.0,0.0,0.0,0.0,332,0,10023529,30191.352409638555,332,0,10023529,30191.352409638555,332,0,10023529,30191.352409638555,0.0,0.0,0.0,0.0,0.0,3460,164,0.0,3460,164,0.0,3460,164,0.0
ACB0578,346,0.0,0.0,0.0,0.0,0.0,338,160,9883632,29241.51479289941,338,160,9883632,29241.51479289941,338,160,9883632,29241.51479289941,0.0,0.0,0.0,0.0,0.0,3460,112,0.0,3460,112,0.0,3460,112,0.0
ACB0864,346,0.0,0.0,0.0,0.0,0.0,5066,2190,152631509,30128.60422424004,5066,2190,152631509,30128.60422424004,5066,2190,152631509,30128.60422424004,0.0,0.0,0.0,0.0,0.0,56052,196,0.0,56052,196,0.0,56052,196,0.0
ACD0744,346,0.0,0.0,0.0,0.0,0.0,5038,0,152188992,30208.215958713776,5038,0,152188992,30208.215958713776,5038,0,152188992,30208.215958713776,0.0,0.0,0.0,0.0,0.0,56052,194,0.0,56052,194,0.0,56052,194,0.0
ACG0789,346,0.0,0.0,0.0,0.0,0.0,4679,0,140665467,30063.147467407565,4679,0,140665467,30063.147467407565,4679,0,140665467,30063.147467407565,0.0,0.0,0.0,0.0,0.0,49478,124,0.0,49478,124,0.0,49478,124,0.0
ACH0737,346,0.0,0.0,0.0,0.0,0.0,5051,1691,151300046,29954.47356959018,5051,1691,151300046,29954.47356959018,5051,1691,151300046,29954.47356959018,0.0,0.0,0.0,0.0,0.0,56052,246,0.0,56052,246,0.0,56052,246,0.0
ACM0091,346,0.0,0.0,0.0,0.0,0.0,3014,0,90571193,30050.16357000664,3014,0,90571193,30050.16357000664,3014,0,90571193,30050.16357000664,0.0,0.0,0.0,0.0,0.0,32870,133,0.0,32870,133,0.0,32870,133,0.0
ACM0931,776,19.0,100.0,423.0,417.0,840.0,3540,1931,106627101,30120.65,3540,1931,106627101,30120.65,3540,1931,106627101,30120.65,1135.0,1135.0,227.0,725.0,55.0,40300,202,147.0,40300,202,147.0,40300,202,147.0
ACR0280,403,0.0,0.0,0.0,0.0,0.0,1013,621,30630684,30237.59526159921,1013,621,30630684,30237.59526159921,1013,621,30630684,30237.59526159921,0.0,0.0,0.0,0.0,0.0,10380,94,0.0,10380,94,0.0,10380,94,0.0
ACS0705,346,0.0,0.0,0.0,0.0,0.0,332,72,9857708,29691.89156626506,332,72,9857708,29691.89156626506,332,72,9857708,29691.89156626506,0.0,0.0,0.0,0.0,0.0,3450,65,0.0,3450,65,0.0,3450,65,0.0
ACT0844,729,0.0,0.0,363.0,360.0,723.0,332,208,9657658,29089.33132530121,332,208,9657658,29089.33132530121,332,208,9657658,29089.33132530121,945.0,945.0,178.0,606.0,58.0,3460,80,0.0,3460,80,0.0,3460,80,0.0
ACW0260,346,0.0,0.0,0.0,0.0,0.0,3013,2652,89934400,29848.788582807832,3013,2652,89934400,29848.788582807832,3013,2652,89934400,29848.788582807832,0.0,0.0,0.0,0.0,0.0,32870,215,0.0,32870,215,0.0,32870,215,0.0
ACW0382,346,0.0,0.0,0.0,0.0,0.0,3043,1200,90030131,29585.97798225436,3043,1200,90030131,29585.97798225436,3043,1200,90030131,29585.97798225436,0.0,0.0,0.0,0.0,0.0,32870,310,0.0,32870,310,0.0,32870,310,0.0
AEB0275,346,0.0,0.0,0.0,0.0,0.0,3025,1173,90508497,29920.16429752066,3025,1173,90508497,29920.16429752066,3025,1173,90508497,29920.16429752066,0.0,0.0,0.0,0.0,0.0,32870,118,0.0,32870,118,0.0,32870,118,0.0
AEH0281,346,0.0,0.0,0.0,0.0,0.0,1006,385,29913097,29734.68886679921,1006,385,29913097,29734.68886679921,1006,385,29913097,29734.68886679921,0.0,0.0,0.0,0.0,0.0,10034,241,0.0,10034,241,0.0,10034,241,0.0
AEH0387,346,0.0,0.0,0.0,0.0,0.0,3045,0,91493022,30046.96945812808,3045,0,91493022,30046.96945812808,3045,0,91493022,30046.96945812808,0.0,0.0,0.0,0.0,0.0,32870,156,0.0,32870,156,0.0,32870,156,0.0
AEO0038,1433,529.0,0.0,0.0,0.0,0.0,3673,0,110260020,30019.063435883472,3673,0,110260020,30019.063435883472,3673,0,110260020,30019.063435883472,0.0,0.0,0.0,0.0,0.0,39444,329,0.0,39444,329,0.0,39444,329,0.0
AEW0655,346,0.0,0.0,0.0,0.0,0.0,1008,731,30302655,30062.15773809524,1008,731,30302655,30062.15773809524,1008,731,30302655,30062.15773809524,0.0,0.0,0.0,0.0,0.0,10034,147,0.0,10034,147,0.0,10034,147,0.0
AFB0798,346,0.0,0.0,0.0,0.0,0.0,2993,0,89582059,29930.52422318744,2993,0,89582059,29930.52422318744,2993,0,89582059,29930.52422318744,0.0,0.0,0.0,0.0,0.0,32870,187,0.0,32870,187,0.0,32870,187,0.0
AFP0901,614,0.0,0.0,661.0,655.0,1316.0,1000,553,29735942,29735.942,1000,553,29735942,29735.942,1000,553,29735942,29735.942,2112.0,2112.0,389.0,1388.0,106.0,10005,178,0.0,10005,178,0.0,10005,178,0.0
